id,titulo,genero,rating
2,Generals Daughter,accion,8
5,Disneyland Dream,accion,5
8,How to Survive a Plague,accion,8
13,Fall From Grace,accion,6
15,Dragonquest,accion,9
17,Satans Tango ,accion,8
22,Naked in New York,accion,6
26,In the Cut,accion,6
33,The Snow White Murder Case,accion,5
34,Yonkers Joe,accion,5
36,Questioning Darwin,accion,2
37,Designing Woman,accion,6
51,Robot Carnival,accion,4
54,Heartlands,accion,9
59,1969,accion,6
60,Flying Down to Rio,accion,6
62,Dawn Rider,accion,6
68,Mountaintop Motel Massacre,accion,3
69,My Favorite Martian,accion,3
71,Dr. Jack,accion,3
76,North to Alaska,accion,2
77,Doubt,accion,8
78,Dark Horse,accion,6
79,Kanine,accion,9
94,Erie Tales,accion,2
98,Best Defense,accion,10
