id,titulo,genero,rating
64,Ugly Truth,terror,10
22,Naked in New York,terror,10
87,Je appelle Elisabeth,terror,9
2,Generals Daughter,terror,9
5,Disneyland Dream,terror,8
24,Tic Code The,terror,7
43,At the Earths Core,terror,7
95,Cloverfield,terror,7
34,Yonkers Joe,terror,7
38,Battlestar Galactica,terror,6
61,Wednesday,terror,5
51,Robot Carnival,terror,5
56,Minions,terror,5
29,Dirty Work,terror,4
44,Summer in Berlin,terror,3
90,Cheech and Chong,terror,3
18,Chu Chin Chow,terror,3
52,That Touch of Mink,terror,3
7,Who Is John Galt,terror,2
21,Sgt Kabukiman,terror,1
30,Sometimes They Come Back,terror,1
